STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Battery_Utility_4h,501,0.0
Battery_Utility_4h,502,0.0
Battery_Utility_4h,503,0.0
Battery_Utility_4h,504,0.0
Battery_Utility_4h,505,0.0
Battery_Utility_4h,506,0.0
Battery_Utility_4h,507,0.0
Battery_Utility_4h,508,0.0
Battery_Utility_4h,509,0.0
Battery_Utility_4h,510,0.0
Battery_Utility_4h,511,0.0
Battery_Utility_4h,512,0.0
Battery_Utility_4h,513,0.0
Battery_Utility_4h,514,0.0
Battery_Utility_4h,515,0.0
Battery_Utility_4h,516,0.0
Battery_Utility_4h,517,0.0
Battery_Utility_4h,518,0.0
Battery_Utility_4h,519,0.0
Battery_Utility_4h,520,0.0
Battery_Utility_4h,521,0.0
Battery_Utility_4h,522,0.0
Battery_Utility_4h,523,0.0
Battery_Utility_4h,524,0.0
Battery_Utility_4h,525,0.0
Battery_Utility_4h,526,0.0
Battery_Utility_4h,527,0.0
Battery_Utility_4h,528,0.0
Battery_Utility_4h,529,0.0
Battery_Utility_4h,530,0.0
Battery_Utility_4h,531,0.0
Battery_Utility_4h,532,0.0
Battery_Utility_4h,533,0.0
Battery_Utility_4h,534,0.0
Battery_Utility_4h,535,0.0
Battery_Utility_4h,536,0.0
Battery_Utility_4h,537,0.0
Battery_Utility_4h,538,0.0
Battery_Utility_4h,539,0.0
Battery_Utility_4h,540,0.0
Battery_Utility_4h,541,0.0
Battery_Utility_4h,542,0.0
Battery_Utility_4h,543,0.0
Battery_Utility_4h,544,0.0
Battery_Utility_4h,545,0.0
Battery_Utility_4h,546,0.0
Battery_Utility_4h,547,0.0
Battery_Utility_4h,548,0.0
Battery_Utility_4h,549,0.0
Battery_Utility_4h,550,0.0
Battery_Utility_4h,551,0.0
Battery_Utility_4h,552,0.0
Battery_Utility_4h,553,0.0
Battery_Utility_4h,554,0.0
Battery_Utility_4h,555,0.0
Battery_Utility_4h,556,0.0
Battery_Utility_4h,557,0.0
Battery_Utility_4h,558,0.0
Battery_Utility_4h,559,0.0
Battery_Utility_4h,560,0.0
Battery_Utility_4h,561,0.0
Battery_Utility_4h,562,0.0
Battery_Utility_4h,563,0.0
Battery_Utility_4h,564,0.0
Battery_Utility_4h,565,0.0
Battery_Utility_4h,566,0.0
Battery_Utility_4h,567,0.0
Battery_Utility_4h,568,0.0
Battery_Utility_4h,569,0.0
Battery_Utility_4h,570,0.0
Battery_Utility_4h,571,0.0
Battery_Utility_4h,572,0.0
Battery_Utility_4h,573,0.0
Battery_Utility_4h,574,0.0
Battery_Utility_4h,575,0.0
Battery_Utility_4h,576,0.0
Battery_Utility_4h,577,0.0
Battery_Utility_4h,578,0.0
Battery_Utility_4h,579,0.0
Battery_Utility_4h,580,0.0
Battery_Utility_4h,581,0.0
Battery_Utility_4h,582,0.0
Battery_Utility_4h,583,0.0
Battery_Utility_4h,584,0.0
Battery_Utility_4h,585,0.0
Battery_Utility_4h,586,0.0
Battery_Utility_4h,587,0.0
Battery_Utility_4h,588,0.0
Battery_Utility_4h,589,0.0
Battery_Utility_4h,590,0.0
Battery_Utility_4h,591,0.0
Battery_Utility_4h,592,0.0
Battery_Utility_4h,593,0.0
Battery_Utility_4h,594,0.0
Battery_Utility_4h,595,0.0
Battery_Utility_4h,596,0.0
Battery_Utility_4h,597,0.0
Battery_Utility_4h,598,0.0
Battery_Utility_4h,599,0.0
Battery_Utility_4h,600,0.0
Battery_Utility_4h,601,0.0
Battery_Utility_4h,602,0.0
Battery_Utility_4h,603,0.0
Battery_Utility_4h,604,0.0
Battery_Utility_4h,605,0.0
Battery_Utility_4h,606,0.0
Battery_Utility_4h,607,0.0
Battery_Utility_4h,608,0.0
Battery_Utility_4h,609,0.0
Battery_Utility_4h,610,0.0
Battery_Utility_4h,611,0.0
Battery_Utility_4h,612,0.0
Battery_Utility_4h,613,0.0
Battery_Utility_4h,614,0.0
Battery_Utility_4h,615,0.0
Battery_Utility_4h,616,0.0
Battery_Utility_4h,617,0.0
Battery_Utility_4h,618,0.0
Battery_Utility_4h,619,0.0
Battery_Utility_4h,620,0.0
Battery_Utility_4h,621,0.0
Battery_Utility_4h,622,0.0
Battery_Utility_4h,623,0.0
Battery_Utility_4h,624,0.0
Battery_Utility_4h,625,0.0
Battery_Utility_4h,626,0.0
Battery_Utility_4h,627,0.0
Battery_Utility_4h,628,0.0
Battery_Utility_4h,629,0.0
Battery_Utility_4h,630,0.0
Battery_Utility_4h,631,0.0
Battery_Utility_4h,632,0.0
Battery_Utility_4h,633,0.0
Battery_Utility_4h,634,0.0
Battery_Utility_4h,635,0.0
Battery_Utility_4h,636,0.0
Battery_Utility_4h,637,0.0
Battery_Utility_4h,638,0.0
Battery_Utility_4h,639,0.0
Battery_Utility_4h,640,0.0
Battery_Utility_4h,641,0.0
Battery_Utility_4h,642,0.0
Battery_Utility_4h,643,0.0
Battery_Utility_4h,644,0.0
Battery_Utility_4h,645,0.0
Battery_Utility_4h,646,0.0
Battery_Utility_4h,647,0.0
Battery_Utility_4h,648,0.0
Battery_Utility_4h,649,0.0
Battery_Utility_4h,650,0.0
Battery_Utility_4h,651,0.0
Battery_Utility_4h,652,0.0
Battery_Utility_4h,653,0.0
Battery_Utility_4h,654,0.0
Battery_Utility_4h,655,0.0
Battery_Utility_4h,656,0.0
Battery_Utility_4h,657,0.0
Battery_Utility_4h,658,0.0
Battery_Utility_4h,659,0.0
Battery_Utility_4h,660,0.0
Battery_Utility_4h,661,0.0
Battery_Utility_4h,662,0.0
Battery_Utility_4h,663,0.0
Battery_Utility_4h,664,0.0
Battery_Utility_4h,665,0.0
Battery_Utility_4h,666,0.0
Battery_Utility_4h,667,0.0
Battery_Utility_4h,668,0.0
Battery_Utility_4h,669,0.0
Battery_Utility_4h,670,0.0
Battery_Utility_4h,671,0.0
Battery_Utility_4h,672,0.0
Battery_Utility_4h,673,0.0
Battery_Utility_4h,674,0.0
Battery_Utility_4h,675,0.0
Battery_Utility_4h,676,0.0
Battery_Utility_4h,677,0.0
Battery_Utility_4h,678,0.0
Battery_Utility_4h,679,0.0
Battery_Utility_4h,680,0.0
Battery_Utility_4h,681,0.0
Battery_Utility_4h,682,0.0
Battery_Utility_4h,683,0.0
Battery_Utility_4h,684,0.0
Battery_Utility_4h,685,0.0
Battery_Utility_4h,686,0.0
Battery_Utility_4h,687,0.0
Battery_Utility_4h,688,0.0
Battery_Utility_4h,689,0.0
Battery_Utility_4h,690,0.0
Battery_Utility_4h,691,0.0
Battery_Utility_4h,692,0.0
Battery_Utility_4h,693,0.0
Battery_Utility_4h,694,0.0
Battery_Utility_4h,695,0.0
Battery_Utility_4h,696,0.0
Battery_Utility_4h,697,0.0
Battery_Utility_4h,698,0.0
Battery_Utility_4h,699,0.0
Battery_Utility_4h,700,0.0
Battery_Utility_4h,701,0.0
Battery_Utility_4h,702,0.0
Battery_Utility_4h,703,0.0
Battery_Utility_4h,704,0.0
Battery_Utility_4h,705,0.0
Battery_Utility_4h,706,0.0
Battery_Utility_4h,707,0.0
Battery_Utility_4h,708,0.0
Battery_Utility_4h,709,0.0
Battery_Utility_4h,710,0.0
Battery_Utility_4h,711,0.0
Battery_Utility_4h,712,0.0
Battery_Utility_4h,713,0.0
Battery_Utility_4h,714,0.0
Battery_Utility_4h,715,0.0
Battery_Utility_4h,716,0.0
Battery_Utility_4h,717,0.0
Battery_Utility_4h,718,0.0
Battery_Utility_4h,719,0.0
Battery_Utility_4h,720,0.0
Battery_Utility_4h,721,0.0
Battery_Utility_4h,722,0.0
Battery_Utility_4h,723,0.0
Battery_Utility_4h,724,0.0
Battery_Utility_4h,725,0.0
Battery_Utility_4h,726,0.0
Battery_Utility_4h,727,0.0
Battery_Utility_4h,728,0.0
Battery_Utility_4h,729,0.0
Battery_Utility_4h,730,0.0
Battery_Utility_4h,731,0.0
Battery_Utility_4h,732,0.0
Battery_Utility_4h,733,0.0
Battery_Utility_4h,734,0.0
Battery_Utility_4h,735,0.0
Battery_Utility_4h,736,0.0
Battery_Utility_4h,737,0.0
Battery_Utility_4h,738,0.0
Battery_Utility_4h,739,0.0
Battery_Utility_4h,740,0.0
Battery_Utility_4h,741,0.0
Battery_Utility_4h,742,0.0
Battery_Utility_4h,743,0.0
Battery_Utility_4h,744,0.0
Battery_Utility_4h,745,0.0
Battery_Utility_4h,746,0.0
Battery_Utility_4h,747,0.0
Battery_Utility_4h,748,0.0
Battery_Utility_4h,749,0.0
Battery_Utility_4h,750,0.0
Battery_Utility_4h,751,0.0
Battery_Utility_4h,752,0.0
Battery_Utility_4h,753,0.0
Battery_Utility_4h,754,0.0
Battery_Utility_4h,755,0.0
Battery_Utility_4h,756,0.0
Battery_Utility_4h,757,0.0
Battery_Utility_4h,758,0.0
Battery_Utility_4h,759,0.0
Battery_Utility_4h,760,0.0
Battery_Utility_4h,761,0.0
Battery_Utility_4h,762,0.0
Battery_Utility_4h,763,0.0
Battery_Utility_4h,764,0.0
Battery_Utility_4h,765,0.0
Battery_Utility_4h,766,0.0
Battery_Utility_4h,767,0.0
Battery_Utility_4h,768,0.0
Battery_Utility_4h,769,0.0
Battery_Utility_4h,770,0.0
Battery_Utility_4h,771,0.0
Battery_Utility_4h,772,0.0
Battery_Utility_4h,773,0.0
Battery_Utility_4h,774,0.0
Battery_Utility_4h,775,0.0
Battery_Utility_4h,776,0.0
Battery_Utility_4h,777,0.0
Battery_Utility_4h,778,0.0
Battery_Utility_4h,779,0.0
Battery_Utility_4h,780,0.0
Battery_Utility_4h,781,0.0
Battery_Utility_4h,782,0.0
Battery_Utility_4h,783,0.0
Battery_Utility_4h,784,0.0
Battery_Utility_4h,785,0.0
Battery_Utility_4h,786,0.0
Battery_Utility_4h,787,0.0
Battery_Utility_4h,788,0.0
Battery_Utility_4h,789,0.0
Battery_Utility_4h,790,0.0
Battery_Utility_4h,791,0.0
Battery_Utility_4h,792,0.0
Battery_Utility_4h,793,0.0
Battery_Utility_4h,794,0.0
Battery_Utility_4h,795,0.0
Battery_Utility_4h,796,0.0
Battery_Utility_4h,797,0.0
Battery_Utility_4h,798,0.0
Battery_Utility_4h,799,0.0
Battery_Utility_4h,800,0.0
Battery_Utility_4h,801,0.0
Battery_Utility_4h,802,0.0
Battery_Utility_4h,803,0.0
Battery_Utility_4h,804,0.0
Battery_Utility_4h,805,0.0
Battery_Utility_4h,806,0.0
Battery_Utility_4h,807,0.0
Battery_Utility_4h,808,0.0
Battery_Utility_4h,809,0.0
Battery_Utility_4h,810,0.0
Battery_Utility_4h,811,0.0
Battery_Utility_4h,812,0.0
Battery_Utility_4h,813,0.0
Battery_Utility_4h,814,0.0
Battery_Utility_4h,815,0.0
Battery_Utility_4h,816,0.0
