TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2028W42,2028,1,24,7
2028W43,2028,1,24,7
2028W44,2028,1,24,7
2028W45,2028,1,24,7
2028W46,2028,1,24,7
2028W47,2028,1,24,7
2028W48,2028,1,24,7
2028W49,2028,1,24,7
2028W50,2028,1,24,7
2028W51,2028,1,24,7
2028W52,2028,1,24,7
2029W01,2029,1,24,7
2029W02,2029,1,24,7
2029W03,2029,1,24,7
2029W04,2029,1,24,7
2029W05,2029,1,24,7
2029W06,2029,1,24,7
2029W07,2029,1,24,7
2029W08,2029,1,24,7
2029W09,2029,1,24,7
2029W10,2029,1,24,7
2029W11,2029,1,24,7
2029W12,2029,1,24,7
2029W13,2029,1,24,7
2029W14,2029,1,24,7
2029W15,2029,1,24,7
2029W16,2029,1,24,7
2029W17,2029,1,24,7
2029W18,2029,1,24,7
2029W19,2029,1,24,7
2029W20,2029,1,24,7
2029W21,2029,1,24,7
2029W22,2029,1,24,7
2029W23,2029,1,24,7
2029W24,2029,1,24,7
2029W25,2029,1,24,7
2029W26,2029,1,24,7
2029W27,2029,1,24,7
2029W28,2029,1,24,7
2029W29,2029,1,24,7
2029W30,2029,1,24,7
2029W31,2029,1,24,7
2029W32,2029,1,24,7
2029W33,2029,1,24,7
2029W34,2029,1,24,7
2029W35,2029,1,24,7
2029W36,2029,1,24,7
2029W37,2029,1,24,7
2029W38,2029,1,24,7
2029W39,2029,1,24,7
2029W40,2029,1,24,7
2029W41,2029,1,24,7
2029W42,2029,1,24,7
2029W43,2029,1,24,7
2029W44,2029,1,24,7
2029W45,2029,1,24,7
2029W46,2029,1,24,7
2029W47,2029,1,24,7
2029W48,2029,1,24,7
2029W49,2029,1,24,7
2029W50,2029,1,24,7
2029W51,2029,1,24,7
2029W52,2029,1,24,7
2030W01,2030,1,24,7
2030W02,2030,1,24,7
2030W03,2030,1,24,7
2030W04,2030,1,24,7
2030W05,2030,1,24,7
2030W06,2030,1,24,7
2030W07,2030,1,24,7
2030W08,2030,1,24,7
2030W09,2030,1,24,7
2030W10,2030,1,24,7
2030W11,2030,1,24,7
2030W12,2030,1,24,7
2030W13,2030,1,24,7
2030W14,2030,1,24,7
2030W15,2030,1,24,7
2030W16,2030,1,24,7
2030W17,2030,1,24,7
2030W18,2030,1,24,7
2030W19,2030,1,24,7
2030W20,2030,1,24,7
2030W21,2030,1,24,7
2030W22,2030,1,24,7
2030W23,2030,1,24,7
2030W24,2030,1,24,7
2030W25,2030,1,24,7
2030W26,2030,1,24,7
2030W27,2030,1,24,7
2030W28,2030,1,24,7
2030W29,2030,1,24,7
2030W30,2030,1,24,7
2030W31,2030,1,24,7
2030W32,2030,1,24,7
2030W33,2030,1,24,7
2030W34,2030,1,24,7
2030W35,2030,1,24,7
2030W36,2030,1,24,7
2030W37,2030,1,24,7
2030W38,2030,1,24,7
2030W39,2030,1,24,7
2030W40,2030,1,24,7
2030W41,2030,1,24,7
2030W42,2030,1,24,7
2030W43,2030,1,24,7
2030W44,2030,1,24,7
2030W45,2030,1,24,7
2030W46,2030,1,24,7
2030W47,2030,1,24,7
2030W48,2030,1,24,7
2030W49,2030,1,24,7
2030W50,2030,1,24,7
2030W51,2030,1,24,7
2030W52,2030,1,24,7
