LOAD_ZONE,TIMEPOINT,zone_demand_mw
Menorca,356,56.14
Menorca,357,57.70
Menorca,358,51.16
Menorca,359,44.26
Menorca,360,38.37
Menorca,361,35.01
Menorca,362,32.73
Menorca,363,31.40
Menorca,364,30.84
Menorca,365,32.06
Menorca,366,35.74
Menorca,367,41.00
Menorca,368,48.53
Menorca,369,55.06
Menorca,370,58.21
Menorca,371,57.74
Menorca,372,56.03
Menorca,373,53.86
Menorca,374,50.70
Menorca,375,47.36
Menorca,376,45.81
Menorca,377,46.21
Menorca,378,46.79
Menorca,379,49.47
Menorca,380,53.93
Menorca,381,55.96
Menorca,382,50.41
Menorca,383,44.54
Menorca,384,38.80
Menorca,385,34.96
Menorca,386,32.41
Menorca,387,31.61
Menorca,388,31.13
Menorca,389,32.54
Menorca,390,37.13
Menorca,391,45.17
Menorca,392,53.27
Menorca,393,58.31
Menorca,394,60.20
Menorca,395,59.41
Menorca,396,57.66
Menorca,397,55.07
Menorca,398,51.29
Menorca,399,48.69
Menorca,400,47.87
Menorca,401,48.10
Menorca,402,48.41
Menorca,403,50.20
Menorca,404,54.41
Menorca,405,57.46
Menorca,406,51.09
Menorca,407,44.47
Menorca,408,38.86
Menorca,409,36.47
Menorca,410,34.30
Menorca,411,33.01
Menorca,412,32.76
Menorca,413,33.96
Menorca,414,38.67
Menorca,415,47.36
Menorca,416,55.53
Menorca,417,60.61
Menorca,418,62.81
Menorca,419,62.14
Menorca,420,60.30
Menorca,421,57.69
Menorca,422,54.30
Menorca,423,51.69
Menorca,424,50.51
Menorca,425,51.11
Menorca,426,52.26
Menorca,427,54.54
Menorca,428,58.13
Menorca,429,61.17
Menorca,430,54.29
Menorca,431,47.21
Menorca,432,40.94
Menorca,433,37.89
Menorca,434,35.60
Menorca,435,34.67
Menorca,436,34.33
Menorca,437,35.83
Menorca,438,41.11
Menorca,439,51.16
Menorca,440,59.69
Menorca,441,64.49
Menorca,442,66.39
Menorca,443,64.57
Menorca,444,62.96
Menorca,445,60.53
Menorca,446,57.03
Menorca,447,54.49
Menorca,448,53.61
Menorca,449,55.00
Menorca,450,56.37
Menorca,451,58.41
Menorca,452,61.20
Menorca,453,63.10
Menorca,454,55.71
Menorca,455,48.14
Menorca,456,42.26
Menorca,457,38.36
Menorca,458,35.99
Menorca,459,35.16
Menorca,460,34.97
Menorca,461,36.27
Menorca,462,41.70
Menorca,463,51.77
Menorca,464,60.49
Menorca,465,65.89
Menorca,466,67.44
Menorca,467,66.00
Menorca,468,63.97
Menorca,469,61.59
Menorca,470,58.41
Menorca,471,55.71
Menorca,472,54.94
Menorca,473,56.59
Menorca,474,58.30
Menorca,475,60.17
Menorca,476,61.99
Menorca,477,64.09
Menorca,478,56.84
Menorca,479,48.83
