GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
CCGT_CCS,2028,ccgt_ccs,Menorca,gas_ccs,0,0,0
CCGT_CCS,2029,ccgt_ccs,Menorca,gas_ccs,0,0,0
CCGT_CCS,2030,ccgt_ccs,Menorca,gas_ccs,0,0,0
Diesel_GE,2021,diesel,Menorca,diesel,76,3.60362e+06,1.72725e+06
Diesel_GE,2022,diesel,Menorca,diesel,76,3.60362e+06,1.72725e+06
Diesel_P&W,2021,diesel,Menorca,diesel,148.2,7.02706e+06,3.36814e+06
Diesel_P&W,2022,diesel,Menorca,diesel,148.2,7.02706e+06,3.36814e+06
Fueloil_MB&W,2021,fueloil,Menorca,fueloil,47.4,2.24752e+06,1.07726e+06
Fueloil_MB&W,2022,fueloil,Menorca,fueloil,47.4,2.24752e+06,1.07726e+06
NG_GT,2021,nat_gas,Menorca,gas,10,463021,137780
NG_GT,2022,nat_gas,Menorca,gas,10,463021,137780
NG_GT,2023,nat_gas,Menorca,gas,60,2.74322e+06,816280
NG_GT,2024,nat_gas,Menorca,gas,60,2.74322e+06,816280
NG_GT,2025,nat_gas,Menorca,gas,70,3.19238e+06,949930
NG_GT,2026,nat_gas,Menorca,gas,70,3.19238e+06,949930
NG_GT,2027,nat_gas,Menorca,gas,70,3.19238e+06,949930
NG_GT,2028,nat_gas,Menorca,gas,70,3.19238e+06,949930
NG_GT,2029,nat_gas,Menorca,gas,70,3.19238e+06,949930
NG_GT,2030,nat_gas,Menorca,gas,80,3.62481e+06,1.0786e+06
PV_SonSalomo,2021,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2022,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2023,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2024,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2025,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2026,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2027,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2028,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2029,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2030,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
Seacable,2021,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2022,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2023,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2024,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2025,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2026,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2027,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2028,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2029,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2030,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Utility_PV,2021,utility_pv,Menorca,sun,56,3.306e+06,822528
Utility_PV,2022,utility_pv,Menorca,sun,56,3.306e+06,822528
Utility_PV,2023,utility_pv,Menorca,sun,56,3.306e+06,822528
Utility_PV,2024,utility_pv,Menorca,sun,56,3.306e+06,822528
Utility_PV,2025,utility_pv,Menorca,sun,56,3.306e+06,822528
Utility_PV,2026,utility_pv,Menorca,sun,62,3.61792e+06,900138
Utility_PV,2027,utility_pv,Menorca,sun,64,3.71928e+06,925358
Utility_PV,2028,utility_pv,Menorca,sun,68,3.91692e+06,974530
Utility_PV,2029,utility_pv,Menorca,sun,72,4.1096e+06,1.02247e+06
Utility_PV,2030,utility_pv,Menorca,sun,76,4.29744e+06,1.06921e+06
Wind_Mila,2021,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2022,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2023,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2024,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2025,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2026,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2027,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2028,mila_wind,Menorca,wind,3.2,454096,128000
Wind_OnShore,2021,wind,Menorca,wind,72.45,7.37905e+06,2.1877e+06
Wind_OnShore,2022,wind,Menorca,wind,79.35,8.06435e+06,2.39088e+06
Wind_OnShore,2023,wind,Menorca,wind,82.8,8.39849e+06,2.48994e+06
Wind_OnShore,2024,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
Wind_OnShore,2025,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
Wind_OnShore,2026,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
Wind_OnShore,2027,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
Wind_OnShore,2028,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
Wind_OnShore,2029,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
Wind_OnShore,2030,wind,Menorca,wind,96.6,9.70185e+06,2.87636e+06
